Plant_Name,City,Country,Opening_Year,DryWeather(CMD),WetWeather(CMD),Area(sqkm),Notes
Jean-R.-Marcotte Wastewater Treatment Plant[1],Montreal,Canada,1984,"2,780,000","7,600,000",0.67,Secondary treatment planned for 2023.[2]
Detroit Wastewater Treatment Plant[3],Detroit,USA,1940,2 460 000,6 435 000,0.53,Wet-weather secondary treatment capacity limited to 3 520 000 m³/day.
Stickney Water Reclamation Plant[4],Chicago,USA,1930,2 665 000[5],5 450 000[6],1.67,
Blue Plains Advanced Wastewater Treatment Plant[7],Washington D.C.,USA,1937,1 450 000,4 073 000,0.62,Secondary treatment since 1959. Enhanced nutrient removal in 2014.
Deer Island Waste Water Treatment Plant,Boston,USA,1968,1 438 000,4 542 000,0.6[8],Full secondary treatment since 1995.
Abu Rawash Wastewater treatment plant,Giza,Egypt,2021,"1,600,000",,1.39,Secondary treatment since 2021.
Atotonilco de Tula Plant[9],Mexico City,Mexico,2015,2 000 000,3 000 000,,
Hyperion Water Reclamation  Plant[10],Los Angeles,USA,1925,1 041 000,3 000 000,0.81,Wet-weather secondary treatment (since 1950) capacity limited to 1 821 000 m³/day.
Kuryanovo wastewater treatment facilities[11],Moscow,Russia,1950,2 200 000,,,
Lyuberetskiye wastewater treatment facilities[12],Moscow,Russia,1963,3 000 000,,,
Seine Aval Wastewater Treatment Plant[13],Paris,France,1940,1 460 000,2 900 000,8,
Shanghai Zhuyan I Wastewater Treatment Plant[14],Shanghai,China,2004,1 700 000,,,
Stonecutters Island Sewage Treatment[15],Hong Kong,China,2001,,2 765 000[16],,
Bailonggang Wastewater Treatment Plant,Shanghai,China,1999,2 000 000,,,
Gabal el Asfar Wastewater Treatment Plant,Cairo,Egypt,,1 700 000,2 500 000[17],1.63,
Beckton Sewage Treatment Works,London,UK,1864,,2 330 000,1,
Morigasaki Water Reclamation Center[18],Tokyo,Japan,1966,,1 540 000,0.41,
Beijing Huaifang Water Plant,Beijing,China,2017,600 000[19],,0.16[20],Built underground.
Western Treatment Plant,Melbourne,Australia,1897,485 000,,105[21],
Dasherkandi Sewage Treatment Plant,Dhaka,Bangladesh,2023,350 000,500 000,0.26,Largest sewage treatment plan in South Asia.[22]
McAlpine Creek Wastewater Treatment Plant,"Charlotte, N.C.",USA,1966,"290,950",,,
